****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 15 threads.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Will perform 200 bootstrap resamplings to estimate standard errors.
Reestimation for each bootstrap replicate will terminate at 3 iterations
Size of G: 1891x55290
Average base pair separation between consecutive markers: 50281.2
Block size that will be used for block bootstrap: 199
Performing five EM steps to prime main algorithm
130 (QN/Block) 	Elapsed: 24.64	Loglikelihood: -1.40167e+08	(delta): 0.0265797
131 (QN/Block) 	Elapsed: 21.066	Loglikelihood: -1.40167e+08	(delta): 0.0178448
132 (QN/Block) 	Elapsed: 21.249	Loglikelihood: -1.40167e+08	(delta): 0.040411
133 (QN/Block) 	Elapsed: 22.407	Loglikelihood: -1.40167e+08	(delta): 0.00664508
134 (QN/Block) 	Elapsed: 24.019	Loglikelihood: -1.40167e+08	(delta): 0.0629759
135 (QN/Block) 	Elapsed: 20.548	Loglikelihood: -1.40167e+08	(delta): 0.151508
136 (QN/Block) 	Elapsed: 19.411	Loglikelihood: -1.40167e+08	(delta): 0.634968
137 (QN/Block) 	Elapsed: 23.731	Loglikelihood: -1.40167e+08	(delta): 0.0894864
138 (QN/Block) 	Elapsed: 22.016	Loglikelihood: -1.40167e+08	(delta): 0.0328902
139 (QN/Block) 	Elapsed: 23.036	Loglikelihood: -1.40167e+08	(delta): 0.0122634
140 (QN/Block) 	Elapsed: 21.476	Loglikelihood: -1.40167e+08	(delta): 0.00687519
141 (QN/Block) 	Elapsed: 21.879	Loglikelihood: -1.40167e+08	(delta): 0.00393686
142 (QN/Block) 	Elapsed: 21.305	Loglikelihood: -1.40167e+08	(delta): 0.00752941
143 (QN/Block) 	Elapsed: 22.605	Loglikelihood: -1.40167e+08	(delta): 0.00345355
144 (QN/Block) 	Elapsed: 21.715	Loglikelihood: -1.40167e+08	(delta): 0.0297854
145 (QN/Block) 	Elapsed: 18.629	Loglikelihood: -1.40167e+08	(delta): 0.00635096
146 (QN/Block) 	Elapsed: 22.729	Loglikelihood: -1.40167e+08	(delta): 0.0187751
147 (QN/Block) 	Elapsed: 22.199	Loglikelihood: -1.40167e+08	(delta): 0.0213055
148 (QN/Block) 	Elapsed: 23.974	Loglikelihood: -1.40167e+08	(delta): 0.0575924
149 (QN/Block) 	Elapsed: 23.882	Loglikelihood: -1.40167e+08	(delta): 0.0123672
150 (QN/Block) 	Elapsed: 20.776	Loglikelihood: -1.40167e+08	(delta): 0.0109023
151 (QN/Block) 	Elapsed: 21.361	Loglikelihood: -1.40167e+08	(delta): 0.00563353
152 (QN/Block) 	Elapsed: 21.379	Loglikelihood: -1.40167e+08	(delta): 0.00930187
153 (QN/Block) 	Elapsed: 23.294	Loglikelihood: -1.40167e+08	(delta): 0.00601557
154 (QN/Block) 	Elapsed: 24.985	Loglikelihood: -1.40167e+08	(delta): 0.00357768
155 (QN/Block) 	Elapsed: 21.539	Loglikelihood: -1.40167e+08	(delta): 0.00954142
156 (QN/Block) 	Elapsed: 20.53	Loglikelihood: -1.40167e+08	(delta): 0.015408
157 (QN/Block) 	Elapsed: 20.56	Loglikelihood: -1.40167e+08	(delta): 0.0052563
158 (QN/Block) 	Elapsed: 22.002	Loglikelihood: -1.40167e+08	(delta): 0.00311312
159 (QN/Block) 	Elapsed: 22.94	Loglikelihood: -1.40167e+08	(delta): 0.00496614
160 (QN/Block) 	Elapsed: 24.649	Loglikelihood: -1.40167e+08	(delta): 0.0120912
161 (QN/Block) 	Elapsed: 21.254	Loglikelihood: -1.40167e+08	(delta): 0.0163773
162 (QN/Block) 	Elapsed: 20.431	Loglikelihood: -1.40167e+08	(delta): 0.00427404
163 (QN/Block) 	Elapsed: 21.505	Loglikelihood: -1.40167e+08	(delta): 0.00653547
164 (QN/Block) 	Elapsed: 21.472	Loglikelihood: -1.40167e+08	(delta): 0.00788757
165 (QN/Block) 	Elapsed: 21.74	Loglikelihood: -1.40167e+08	(delta): 0.00857437
166 (QN/Block) 	Elapsed: 22.398	Loglikelihood: -1.40167e+08	(delta): 0.00180119
167 (QN/Block) 	Elapsed: 23.799	Loglikelihood: -1.40167e+08	(delta): 0.00544721
168 (QN/Block) 	Elapsed: 20.159	Loglikelihood: -1.40167e+08	(delta): 0.009
169 (QN/Block) 	Elapsed: 20.009	Loglikelihood: -1.40167e+08	(delta): 0.0113422
170 (QN/Block) 	Elapsed: 22.276	Loglikelihood: -1.40167e+08	(delta): 0.00595975
171 (QN/Block) 	Elapsed: 24.003	Loglikelihood: -1.40167e+08	(delta): 0.00246426
172 (QN/Block) 	Elapsed: 25.304	Loglikelihood: -1.40167e+08	(delta): 0.010382
173 (QN/Block) 	Elapsed: 20.866	Loglikelihood: -1.40167e+08	(delta): 0.00715265
174 (QN/Block) 	Elapsed: 20.186	Loglikelihood: -1.40167e+08	(delta): 0.00300816
175 (QN/Block) 	Elapsed: 20.662	Loglikelihood: -1.40167e+08	(delta): 0.00191075
